m_base,omega_base,amp_combined_max,ratio_h1,amp_h1_max,ratio_h2,amp_h2_max,ratio_h3,amp_h3_max,dominant_harmonic,dominant_ratio,dominant_amp_max
0.1,0.12566370614359174,0.26120146642525527,0.1,0.16531966120104977,0.2,0.060564170570412704,0.30000000000000004,0.037166607525415785,1,0.1,0.16531966120104977
0.11,0.1382300767579509,0.24436362420205812,0.11,0.15904305756124684,0.22,0.0650551897685873,0.33,0.03725976614070289,1,0.11,0.15904305756124684
0.12,0.15079644737231007,0.24290652395143672,0.12,0.1599329112861379,0.24,0.06720020104510813,0.36,0.03984825633000674,1,0.12,0.1599329112861379
0.13,0.16336281798666924,0.25961934028332495,0.13,0.16238306851265819,0.26,0.06869421647536339,0.39,0.04079158135856321,1,0.13,0.16238306851265819
0.13999999999999999,0.1759291886010284,0.26366901459277586,0.13999999999999999,0.16640505483575213,0.27999999999999997,0.06787399736845455,0.42000000000000004,0.0408290204961192,1,0.13999999999999999,0.16640505483575213
0.14999999999999997,0.18849555921538755,0.270425997592401,0.14999999999999997,0.16739786856699448,0.29999999999999993,0.06746680206409192,0.44999999999999996,0.04282975389566955,1,0.14999999999999997,0.16739786856699448
0.15999999999999998,0.20106192982974672,0.27493632857445416,0.15999999999999998,0.16264356862734564,0.31999999999999995,0.07165088198250438,0.4799999999999999,0.04546679655248293,1,0.15999999999999998,0.16264356862734564
0.16999999999999998,0.2136283004441059,0.25183147460457256,0.16999999999999998,0.1593068689588658,0.33999999999999997,0.06676512088336166,0.5099999999999999,0.045914962779823834,1,0.16999999999999998,0.1593068689588658
0.17999999999999997,0.22619467105846505,0.2627268949352475,0.17999999999999997,0.16480024455272305,0.35999999999999993,0.06780177883519731,0.5399999999999999,0.04754190382292159,1,0.17999999999999997,0.16480024455272305
0.18999999999999995,0.23876104167282422,0.2921027281386449,0.18999999999999995,0.16812284360294896,0.3799999999999999,0.07585647012361578,0.5699999999999998,0.05045151823992934,1,0.18999999999999995,0.16812284360294896
0.19999999999999996,0.2513274122871834,0.23968459041157758,0.19999999999999998,0.16223352728407803,0.39999999999999997,0.07538886696536361,0.6,0.05359446325214832,1,0.19999999999999998,0.16223352728407803
0.20999999999999996,0.2638937829015426,0.2839376499686004,0.20999999999999996,0.16843771459174453,0.41999999999999993,0.0752312303393779,0.6299999999999999,0.05739360413969101,1,0.20999999999999996,0.16843771459174453
0.21999999999999995,0.27646015351590175,0.28177494968559047,0.21999999999999997,0.1611742520232583,0.43999999999999995,0.07701103296439427,0.6599999999999999,0.0615655703611365,1,0.21999999999999997,0.1611742520232583
0.22999999999999993,0.28902652413026086,0.2935786341275261,0.22999999999999993,0.17242616634895716,0.45999999999999985,0.08057323504606459,0.6899999999999997,0.06598640315233917,1,0.22999999999999993,0.17242616634895716
0.23999999999999994,0.30159289474462003,0.31861489803751486,0.2399999999999999,0.1683261587310781,0.4799999999999998,0.08330599494652839,0.7199999999999998,0.0713567548786914,1,0.2399999999999999,0.1683261587310781
0.24999999999999994,0.31415926535897926,0.2392138017110802,0.24999999999999994,0.17484970577662015,0.4999999999999999,0.08607872763900917,0.7499999999999998,0.08131442533371776,1,0.24999999999999994,0.17484970577662015
0.2599999999999999,0.32672563597333837,0.34112799115881787,0.2599999999999999,0.17115414147818725,0.5199999999999998,0.08760168410222538,0.7799999999999997,0.08901798771854351,1,0.2599999999999999,0.17115414147818725
0.2699999999999999,0.33929200658769754,0.3305504667958765,0.2699999999999999,0.17108975661749604,0.5399999999999998,0.08962678915934222,0.8099999999999998,0.10066132341225373,1,0.2699999999999999,0.17108975661749604
0.2799999999999999,0.3518583772020567,0.3449333752835523,0.2799999999999999,0.16795939791568815,0.5599999999999998,0.09225005525272899,0.8399999999999997,0.11434780143214164,1,0.2799999999999999,0.16795939791568815
0.2899999999999999,0.36442474781641593,0.4050719668001061,0.2899999999999999,0.17898345162858284,0.5799999999999998,0.09369244846301013,0.8699999999999998,0.14554676857606114,1,0.2899999999999999,0.17898345162858284
0.29999999999999993,0.3769911184307751,0.42576649883456624,0.29999999999999993,0.17313602537652414,0.5999999999999999,0.09335403411383567,0.8999999999999999,0.1787169132705242,3,0.8999999999999999,0.1787169132705242
0.3099999999999999,0.3895574890451342,0.4703836931122963,0.3099999999999999,0.16289775992699052,0.6199999999999998,0.10062455596366122,0.9299999999999997,0.23470148912246053,3,0.9299999999999997,0.23470148912246053
0.3199999999999999,0.4021238596594934,0.7153428801739025,0.3199999999999999,0.1818653204588742,0.6399999999999998,0.1072397527419998,0.9599999999999996,0.44881010141868655,3,0.9599999999999996,0.44881010141868655
0.3299999999999999,0.41469023027385254,1.3852203065300108,0.3299999999999999,0.16467567110955786,0.6599999999999998,0.11098118676357278,0.9899999999999995,1.178544612420549,3,0.9899999999999995,1.178544612420549
0.33999999999999986,0.4272566008882117,0.7780074540259897,0.33999999999999986,0.15995300477699817,0.6799999999999997,0.11970169895139192,1.0199999999999996,0.7504974210033443,3,1.0199999999999996,0.7504974210033443
0.34999999999999987,0.4398229715025709,0.34546783120049707,0.34999999999999987,0.1871219522794009,0.6999999999999997,0.12370284651014918,1.0499999999999998,0.3558120979133299,3,1.0499999999999998,0.3558120979133299
0.3599999999999999,0.45238934211693005,0.2874193150683895,0.3599999999999999,0.17980477974663076,0.7199999999999998,0.13144358925059438,1.0799999999999996,0.19828671262012357,3,1.0799999999999996,0.19828671262012357
